host_genus	average_endozoicomonas_per_1000_reads	disease_susceptibility	faith_pd_tissue
Acanthastrea	8.0	0.0	62.67279931
Acropora	58.6818182	3.64311332	22.58586687
Alveopora	441.333333	0.74906367	98.92810501
Coscinaraea	122.666667	0.0	73.4539744
Ctenactis	5.0	0.0	41.06653384
Cyphastrea	621.666667	21.66207168	70.4172442
Diploastrea	5.0	0.704225352	105.9506471
Diploria	5.33333333	1.93236715	115.3942977
Echinophyllia	44.6	0.553505535	64.78630227
Echinopora	46.5555556	1.87680462	50.84775241
Favites	14.2222222	0.585529067	48.15556207
Galaxea	58.5	3.649635036	105.2000279
Gardineroseris	1.75	0.0	94.5683238
Goniastrea	6.71428571	0.288018433	124.8294747
Goniopora	5.66666667	0.147125699	23.46251549
Hydnophora	425.571429	3.109656301	35.65929275
Leptastrea	18.0	5.665280665	103.3014998
Lobophyllia	145.294118	3.1543052	73.65675102
Merulina	6.5	1.31147541	45.78131257
Orbicella	11.75	3.315238465	44.93429666
Pachyseris	6.875	2.951510892	41.88566717
Palythoa	381.0	0.367556971	104.3129799
Pavona	3.70833333	4.369457063	100.4108146
Physogyra	1.8	0.0	27.30306591
Platygyra	204.4	1.229773463	37.88571053
Plerogyra	37.0	0.0	62.35958674
Pocillopora	148.652174	5.830450841	36.74871729
Podabacia	45.0	0.0	76.89441494
Porites	340.153846	16.51667822	66.04202832
Psammocora	244.75	12.38164603	95.69721643
Scolymia	0.5	0.239808153	106.2309377
Seriatopora	62.75	5.12195122	33.53976707
Siderastrea	9.33333333	3.717951147	140.0399957
Sinularia	17.0	0.0	42.92755043
Stephanocoenia	50.0	2.111324376	69.23868429
Stylophora	634.428571	3.687150838	28.39977776
Tubastraea	7.28571429	0.909090909	104.2210688
Turbinaria	38.0	1.872074883	82.01398285
