#SampleID	plot	Caged	Nutrients	Coral	Genus	Species	initial_diameter_cm	tissue_change_score	tissue_change_percent	dead_by_end	pfish_bites	binary_tissue_loss	tissue_loss	DSS	Dictytoa	Amphiroa	Sargassum	Halimeda	Turf	Sediment	Cyanobacteria	Algae	AlgaeAndSediment	Bleached
1	1	1	0	PA1	Porites	P porites	7	-2	-18	No	Yes	Yes	Loss	No	Yes	No	No	Yes	Yes	No	No	Yes	No	No
2	1	0	0	AG1	Agaricia	A agaricites	7	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
3	1	1	0	AG1	Agaricia	A humilis	1.5	4	62	No	No	No	Gain	No	Yes	No	No	No	No	No	No	Yes	No	No
4	1	1	0	PA1	Porites	P porites	5	-5	-87	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
5	1	0	0	PA2	Porites	P porites	4.5	2	18	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
6	1	1	1	AG1	Agaricia	A humilis	6	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	Yes
7	1	0	1	AG2	Agaricia	A humilis	8	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
8	1	0	1	PA2	Porites	P porites	5	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
9	1	1	1	PA1	Porites	P porites	3	-6	-100	Yes 	No	Yes	Loss	No	No	Yes	No	No	Yes	No	No	Yes	Yes	No
10	2	1	0	SS1	Siderastrea	S siderea	2.5	0	0	No	No	No	No change	No	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
11	2	1	0	SS2	Siderastrea	S siderea	2	1	5	No	No	No	Gain	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	No
12	2	1	0	PA1	Porites	P porites	3	-3	-37	No	No	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	No	No
13	2	0	0	SS1	Siderastrea	S siderea	5.5	3	37	No	No	No	Gain	Yes	No	No	No	No	No	No	No	No	No	No
15	2	0	1	PA3	Porites	P porites	5	-4	-62	No	Yes	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	No	No
16	2	1	1	SS1	Siderastrea	S siderea	5	-4	-62	No	No	Yes	Loss	Yes	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No
17	2	1	1	AG1	Agaricia	A humilis	4	-1	-5	No	No	Yes	Loss	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No
18	2	0	1	AG1	Agaricia	A humilis	3.5	4	62	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
19	3	0	0	PA1	Porites	P astreoides	2.5	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
21	3	0	0	PA1	Porites	P porites	1.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	No	No
22	3	1	0	PA1	Porites	P astreoides	4.5	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
23	3	1	0	SS2	Siderastrea	S siderea	5	0	0	No	No	No	No change	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	No
24	3	1	0	AG1	Agaricia	A agaricites	6	-4	-62	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes
25	3	1	1	SS1	Siderastrea	S siderea	5	-1	-5	No	No	Yes	Loss	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No
26	3	1	1	PA1	Porites	P porites	6.5	6	250	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
27	3	0	1	PA2	Porites	P porites	2	0	0	No	Yes	No	No change	No	No	No	No	No	No	No	No	No	No	No
28	3	0	1	AG2	Agaricia	A agaricites	5.5	0	0	No	No	No	No change	No	Yes	No	No	No	No	No	Yes	Yes	No	Yes
29	3	1	1	SS1	Siderastrea	S siderea	3	1	5	No	No	No	Gain	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No
30	3	1	1	PA2	Porites	P astreoides	2	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
31	3	0	1	SS1	Siderastrea	S siderea	12	-1	-5	No	No	Yes	Loss	Yes	No	No	No	No	No	Yes	No	No	No	No
32	4	1	0	SS1	Siderastrea	S siderea	3	-1	-5	No	No	Yes	Loss	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No
33	4	1	0	SS2	Siderastrea	S siderea	6	-2	-18	No	No	Yes	Loss	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	No
34	4	1	0	SS2	Siderastrea	S siderea	2	1	5	No	No	No	Gain	Yes	No	No	No	No	No	Yes	No	No	No	No
35	4	1	0	SS3	Siderastrea	S siderea	4	-1	-5	No	No	Yes	Loss	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No
36	4	1	0	PA1	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	Yes	No	No	No	No
37	4	0	0	PA1	Porites	P astreoides	2.5	2	18	No	Yes	No	Gain	No	No	No	No	No	No	Yes	No	No	No	No
38	4	0	0	PA2	Porites	P porites	2.5	5	87	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
39	4	0	0	SS1	Siderastrea	S siderea	8	1	5	No	No	No	Gain	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No
40	4	1	1	PA2	Porites	P astreoides	4	-5	-87	No	No	Yes	Loss	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No
41	4	1	1	AG1	Agaricia	A humilis	2	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	No	No
42	4	0	1	SS1	Siderastrea	S siderea	15+	-2	-18	No	No	Yes	Loss	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No
43	4	0	1	AG1	Agaricia	A humilis	3	-4	-62	No	No	Yes	Loss	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	No
44	4	0	1	AG1	Agaricia	A agaricites	7	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	Yes	No	No	No	No
45	4	0	1	PA1	Porites	P astreoides	2.5	0	0	No	Yes	No	No change	No	No	Yes	No	No	Yes	No	No	Yes	No	No
46	4	1	1	SS1	Siderastrea	S siderea	4	-1	-5	No	No	Yes	Loss	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No
47	4	1	1	AG3	Agaricia	A agaricites	3	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
65	1	0	0	SS1	Stephanocoenia	Stephanocoenia	1.5	3	37	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
66	1	1	0	SS1	Siderastrea	S radians maybe	3	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
67	1	0	1	PA3	Porites	P porites	4	-4	-62	No	Yes	Yes	Loss	No	Yes	Yes	No	Yes	No	No	Yes	Yes	No	No
68	1	0	1	SS1	Siderastrea	S siderea	5	1	5	No	No	No	Gain	Yes	No	No	No	No	No	No	No	No	No	No
69	1	0	1	SS1	Siderastrea	S siderea	6	-1	-5	No	No	Yes	Loss	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	No
70	1	1	1	SS2	Siderastrea	S siderea	2.5	6	200	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
71	1	1	1	PA2	Porites	P porites	4.5	-5	-87	No	No	Yes	Loss	No	No	Yes	No	No	Yes	No	No	Yes	No	No
72	1	1	1	SS1	Siderastrea	S siderea	3	3	37	No	No	No	Gain	Yes	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No
73	2	0	0	PA1	Porites	P astreoides	1.5	0	0	No	Yes	No	No change	No	No	No	No	No	No	No	No	No	No	No
74	2	0	0	PA6	Porites	P porites	3	-4	-62	No	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
76	2	1	0	PA2	Porites	P porites	3.5	-2	-18	No	No	Yes	Loss	No	No	No	No	Yes	No	Yes	No	Yes	Yes	No
77	2	0	1	SS1	Siderastrea	S siderea	4	-1	-5	No	No	Yes	Loss	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
78	2	0	1	PA1	Porites	P astreoides	5	-5	-87	No	Yes	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	No	No
80	2	1	1	PA1	Porites	P porites	4	-5	-87	No	No	Yes	Loss	No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No
81	3	0	0	AG1	Agaricia	A humilis	6	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
82	3	1	0	PA1	Porites	P porites	3	3	37	No	No	No	Gain	No	No	No	No	No	No	Yes	No	No	No	No
85	4	1	1	PA1	Porites	P porites	3.5	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
1CC1_MA1	1	1	0	MA1	Manicinia	Manicinia	2.5	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CC2_PA2	1	1	0	PA2	Porites	P astreoides	1.5	-4	-62	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1CC2_PA4	1	1	0	PA4	Porites	P porites	4	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CC2_PA5	1	1	0	PA5	Porites	P porites	4	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No
1CC2_PA6	1	1	0	PA6	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1CU1_PA1	1	0	0	PA1	Porites	P astreoides	1.5	6	100	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU1_PA2	1	0	0	PA2	Porites	P porites	2	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_AG1	1	0	0	AG1	Agaricia	A agaricites	4	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No
