,armor_thickness,predation_success
0,0,71.66073276300152
1,5,72.23009137806831
2,10,74.75057199700743
3,15,77.04860686140229
4,20,79.50886335707231
5,25,89.07332642555257
6,30,56.77602127697129
7,35,60.60638585324162
8,40,47.62773750380344
9,45,70.77318429858389
10,50,39.865515008553295
11,55,52.158099655663456
12,60,55.724039611425354
13,65,46.929733209156
14,70,51.50180897587052
15,75,42.26966371148028
16,80,51.491582833654434
17,85,41.190118510981755
18,90,54.79871935322667
19,95,50.604807497835765
