"Index";"Date";"Time";"Weather";"Temperature";"Visitors";"Subspecies";"Marking";"Age";"Individual";"Behaviour";"Group_Size";"Forested_Area";"Dangerous_Enclosure";"Area";"Time_of_Day";"Season";"On_Building";"Crows_per_Scan"
1;2014-01-08;953;"Clouds";"Cold";"Few";"HY";"Unmarked";NA;NA;"Foraging";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
2;2014-01-08;954;"Clouds";"Cold";"Few";"HH";"Unmarked";NA;NA;"Foraging";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
3;2014-01-08;956;"Clouds";"Cold";"Few";"CH";"Unmarked";NA;NA;"Foraging";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
4;2014-01-08;957;"Clouds";"Cold";"Few";"CH";"Marked";"Adult";"242";"Foraging";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
5;2014-01-08;1000;"Clouds";"Cold";"Few";"H";"Unmarked";NA;NA;"Foraging";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
6;2014-01-08;1002;"Clouds";"Cold";"Few";"H";"Marked";NA;NA;"Other";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
7;2014-01-08;1004;"Clouds";"Cold";"Few";"CH";"Unmarked";NA;NA;"Self-Directed";1;"1";"0";"0";"Morning";"Non-Breeder_Season";"1";53
8;2014-01-08;1006;"Clouds";"Cold";"Few";"HH";"Unmarked";NA;NA;"Self-Directed";1;"1";"0";"1";"Morning";"Non-Breeder_Season";"1";53
9;2014-01-08;1007;"Clouds";"Cold";"Few";"HY";"Unmarked";NA;NA;"Other";1;"1";"0";"1";"Morning";"Non-Breeder_Season";"1";53
10;2014-01-08;1010;"Clouds";"Cold";"Few";"HH";"Marked";"Sub-Adult";"278";"Social";3;"1";"0";"1";"Morning";"Non-Breeder_Season";"1";53
11;2014-01-08;1010;"Clouds";"Cold";"Few";"HY";"Unmarked";NA;NA;"Social";3;"1";"0";"1";"Morning";"Non-Breeder_Season";"1";53
12;2014-01-08;1010;"Clouds";"Cold";"Few";"HH";"Unmarked";NA;NA;"Foraging";3;"1";"0";"1";"Morning";"Non-Breeder_Season";"1";53
13;2014-01-08;1017;"Clouds";"Cold";"Few";"H";"Marked";"Adult";"57";"Self-Directed";1;"1";"1";"3";"Morning";"Non-Breeder_Season";"1";53
